Latitude,Longitude,UTC_Time
-16.388978,-49.496119,22:30:43
-16.388978,-49.496119,22:30:43
-16.389097,-49.496068,22:30:44
-16.389097,-49.496068,22:30:44
-16.389215,-49.496017,22:30:45
-16.389336,-49.495966,22:30:46
-16.389336,-49.495966,22:30:46
-16.389456,-49.495915,22:30:47
-16.389456,-49.495915,22:30:47
-16.389577,-49.495862,22:30:48
-16.389577,-49.495862,22:30:48
-16.389697,-49.49581,22:30:49
-16.389697,-49.49581,22:30:49
-16.389817,-49.495756,22:30:50
-16.389817,-49.495756,22:30:50
-16.389934,-49.495706,22:30:51
-16.389934,-49.495706,22:30:51
-16.390046,-49.495656,22:30:52
-16.390046,-49.495656,22:30:52
-16.390151,-49.495609,22:30:53
-16.390151,-49.495609,22:30:53
-16.390249,-49.495563,22:30:54
-16.390249,-49.495563,22:30:54
-16.390343,-49.495522,22:30:55
-16.390343,-49.495522,22:30:55
-16.390427,-49.495487,22:30:56
-16.390505,-49.495453,22:30:57
-16.390505,-49.495453,22:30:57
-16.390583,-49.495419,22:30:58
-16.390583,-49.495419,22:30:58
-16.390669,-49.495383,22:30:59
-16.390669,-49.495383,22:30:59
-16.390763,-49.495343,22:31:0
-16.390763,-49.495343,22:31:0
-16.390862,-49.495301,22:31:1
-16.390862,-49.495301,22:31:1
-16.390964,-49.495258,22:31:2
-16.390964,-49.495258,22:31:2
-16.391075,-49.495211,22:31:3
-16.391075,-49.495211,22:31:3
-16.391191,-49.49516,22:31:4
-16.391191,-49.49516,22:31:4
-16.39131,-49.495108,22:31:5
-16.39131,-49.495108,22:31:5
-16.391432,-49.495054,22:31:6
-16.391432,-49.495054,22:31:6
-16.391557,-49.495003,22:31:7
-16.391683,-49.494953,22:31:8
-16.391683,-49.494953,22:31:8
-16.391815,-49.494903,22:31:9
-16.391815,-49.494903,22:31:9
-16.391949,-49.494849,22:31:10
-16.391949,-49.494849,22:31:10
-16.392091,-49.494793,22:31:11
-16.392091,-49.494793,22:31:11
-16.392229,-49.494736,22:31:12
-16.392229,-49.494736,22:31:12
-16.392372,-49.494679,22:31:13
-16.392372,-49.494679,22:31:13
-16.392514,-49.49462,22:31:14
-16.392514,-49.49462,22:31:14
-16.39266,-49.494561,22:31:15
-16.392806,-49.494503,22:31:16
-16.392806,-49.494503,22:31:16
-16.392956,-49.494439,22:31:17
-16.392956,-49.494439,22:31:17
-16.393104,-49.494376,22:31:18
-16.393104,-49.494376,22:31:18
-16.393252,-49.494312,22:31:19
-16.393252,-49.494312,22:31:19
-16.393397,-49.494249,22:31:20
-16.393397,-49.494249,22:31:20
-16.393547,-49.494185,22:31:21
-16.393547,-49.494185,22:31:21
-16.393694,-49.494123,22:31:22
-16.393694,-49.494123,22:31:22
-16.393845,-49.494061,22:31:23
-16.393845,-49.494061,22:31:23
-16.393993,-49.493999,22:31:24
-16.393993,-49.493999,22:31:24
-16.394145,-49.493935,22:31:25
-16.394145,-49.493935,22:31:25
-16.3943,-49.493869,22:31:26
-16.394453,-49.493806,22:31:27
-16.394453,-49.493806,22:31:27
-16.394605,-49.493741,22:31:28
-16.394605,-49.493741,22:31:28
-16.394758,-49.493676,22:31:29
-16.394758,-49.493676,22:31:29
-16.394908,-49.49361,22:31:30
-16.394908,-49.49361,22:31:30
-16.395061,-49.493546,22:31:31
-16.395061,-49.493546,22:31:31
-16.395213,-49.49348,22:31:32
-16.395213,-49.49348,22:31:32
-16.395367,-49.493415,22:31:33
-16.395522,-49.493351,22:31:34
-16.395522,-49.493351,22:31:34
-16.395678,-49.493285,22:31:35
-16.395678,-49.493285,22:31:35
-16.395835,-49.493218,22:31:36
-16.395835,-49.493218,22:31:36
-16.395995,-49.493151,22:31:37
-16.395995,-49.493151,22:31:37
-16.396153,-49.493083,22:31:38
-16.396153,-49.493083,22:31:38
-16.396312,-49.493014,22:31:39
-16.396312,-49.493014,22:31:39
-16.396471,-49.492945,22:31:40
-16.396471,-49.492945,22:31:40
-16.39663,-49.492875,22:31:41
-16.39663,-49.492875,22:31:41
-16.396793,-49.492806,22:31:42
-16.396793,-49.492806,22:31:42
-16.396956,-49.492736,22:31:43
-16.39712,-49.492665,22:31:44
-16.39712,-49.492665,22:31:44
-16.397288,-49.492592,22:31:45
-16.397288,-49.492592,22:31:45
-16.397455,-49.49252,22:31:46
-16.397455,-49.49252,22:31:46
-16.397623,-49.492448,22:31:47
-16.397623,-49.492448,22:31:47
-16.397794,-49.492371,22:31:48
-16.397794,-49.492371,22:31:48
-16.397966,-49.492292,22:31:49
-16.397966,-49.492292,22:31:49
-16.398135,-49.492211,22:31:50
-16.398306,-49.492126,22:31:51
-16.398306,-49.492126,22:31:51
-16.398473,-49.492038,22:31:52
-16.398473,-49.492038,22:31:52
-16.39864,-49.491943,22:31:53
-16.39864,-49.491943,22:31:53
-16.398808,-49.491843,22:31:54
-16.398808,-49.491843,22:31:54
-16.398978,-49.491739,22:31:55
-16.398978,-49.491739,22:31:55
-16.399146,-49.491628,22:31:56
-16.399146,-49.491628,22:31:56
-16.399313,-49.491513,22:31:57
-16.399313,-49.491513,22:31:57
-16.399474,-49.491393,22:31:58
-16.399474,-49.491393,22:31:58
-16.399633,-49.491267,22:31:59
-16.399633,-49.491267,22:31:59
-16.399791,-49.49114,22:32:0
-16.399791,-49.49114,22:32:0
-16.399947,-49.491008,22:32:1
-16.400101,-49.490873,22:32:2
-16.400101,-49.490873,22:32:2
-16.400249,-49.490733,22:32:3
-16.400249,-49.490733,22:32:3
-16.400395,-49.490588,22:32:4
-16.400395,-49.490588,22:32:4
-16.400539,-49.49044,22:32:5
-16.400539,-49.49044,22:32:5
-16.40068,-49.490288,22:32:6
-16.40068,-49.490288,22:32:6
-16.400818,-49.490131,22:32:7
-16.400818,-49.490131,22:32:7
-16.400954,-49.489971,22:32:8
-16.400954,-49.489971,22:32:8
-16.401084,-49.489808,22:32:9
-16.401084,-49.489808,22:32:9
-16.40121,-49.489642,22:32:10
-16.40121,-49.489642,22:32:10
-16.401331,-49.489469,22:32:11
-16.40145,-49.489296,22:32:12
-16.40145,-49.489296,22:32:12
-16.401565,-49.489121,22:32:13
-16.401565,-49.489121,22:32:13
-16.401675,-49.488943,22:32:14
-16.401675,-49.488943,22:32:14
-16.401781,-49.488763,22:32:15
-16.401781,-49.488763,22:32:15
-16.401879,-49.488579,22:32:16
-16.401879,-49.488579,22:32:16
-16.401975,-49.488397,22:32:17
-16.401975,-49.488397,22:32:17
-16.402068,-49.488214,22:32:18
-16.402158,-49.488029,22:32:19
-16.402158,-49.488029,22:32:19
-16.402243,-49.48784,22:32:20
-16.402243,-49.48784,22:32:20
-16.402323,-49.487647,22:32:21
-16.402323,-49.487647,22:32:21
-16.4024,-49.487455,22:32:22
-16.4024,-49.487455,22:32:22
-16.402475,-49.487262,22:32:23
-16.402475,-49.487262,22:32:23
-16.402549,-49.487072,22:32:24
-16.402549,-49.487072,22:32:24
-16.402622,-49.486883,22:32:25
-16.402622,-49.486883,22:32:25
-16.402694,-49.486694,22:32:26
-16.402766,-49.486506,22:32:27
-16.402766,-49.486506,22:32:27
-16.402839,-49.486322,22:32:28
-16.402839,-49.486322,22:32:28
-16.40291,-49.486137,22:32:29
-16.40291,-49.486137,22:32:29
