Time(ms),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp_C
329544,5.33,-8.27,1.72,-0.13,0.02,-0.08,35.64
330074,5.94,-8.59,1.44,-0.03,0.06,-0.01,35.64
330602,5.59,-8.01,1.72,-0.10,0.03,-0.01,35.64
331124,6.58,-8.60,1.99,-0.08,-0.08,0.03,35.68
331653,4.98,-8.47,1.36,-0.10,0.21,-0.09,35.59
332221,1.29,-10.94,-0.30,0.26,-0.34,0.34,35.73
332749,5.72,-8.65,1.24,-0.11,-0.68,0.17,35.64
333274,4.30,-8.87,0.16,0.68,-0.48,0.42,35.68
333804,4.06,-8.49,1.05,-0.58,0.56,-0.28,35.68
334329,4.89,-7.79,1.09,-0.05,0.14,0.02,35.73
334858,5.63,-8.00,1.48,-0.13,0.02,-0.03,35.73
335384,5.43,-8.15,1.38,-0.03,-0.02,-0.03,35.59
335911,6.02,-8.22,1.14,-0.11,-0.08,-0.06,35.68
336485,5.33,-8.08,1.11,-0.08,0.02,-0.04,35.68
337010,6.81,-7.60,1.56,-0.12,0.01,0.01,35.64
337541,5.63,-8.12,1.07,-0.11,-0.04,-0.03,35.73
338065,6.56,-8.25,2.01,0.54,-0.64,0.42,35.59
338593,5.20,-9.26,0.09,-0.62,0.50,-0.48,35.68
339115,4.47,-8.27,2.22,-0.42,0.26,-0.30,35.64
339644,6.03,-7.48,1.92,-0.03,-0.02,-0.04,35.73
340165,7.18,-7.88,-0.01,-0.79,1.10,-0.55,35.73
340695,7.69,-7.39,3.93,-0.53,0.60,-0.27,35.68
341217,6.74,-5.96,3.02,-0.14,-0.04,0.03,35.73
341746,7.35,-6.23,2.80,-0.07,0.02,0.02,35.64
342270,7.07,-6.54,2.29,-0.08,-0.17,-0.02,35.78
342800,7.72,-6.43,2.15,-0.20,0.15,-0.01,35.78
343325,7.58,-6.37,2.25,-0.08,-0.01,-0.01,35.64
343853,7.47,-6.53,2.12,-0.03,-0.01,0.02,35.73
344379,7.83,-6.80,2.08,-0.13,-0.10,0.01,35.73
344906,7.28,-6.34,2.04,-0.14,-0.04,-0.01,35.68
345433,6.43,-7.28,0.66,0.02,-0.08,0.21,35.68
345960,7.33,-7.39,3.01,-0.11,-0.64,0.37,35.64
346489,5.98,-7.96,1.43,-0.02,-0.10,-0.05,35.73
347059,6.17,-7.72,1.51,-0.13,-0.01,-0.04,35.78
347587,6.58,-7.89,1.46,0.11,0.07,-0.13,35.68
348110,4.63,-6.22,1.18,-1.22,1.11,-0.42,35.78
348639,6.32,-7.13,2.48,-0.30,0.15,0.06,35.73
349161,7.37,-6.72,2.20,-0.26,0.13,-0.07,35.82
349690,7.62,-6.05,2.79,-0.26,0.24,-0.17,35.68
350214,7.48,-6.14,2.83,-0.09,-0.10,-0.02,35.87
350742,7.25,-6.44,2.67,-0.03,-0.04,0.02,35.73
351266,7.26,-5.93,2.64,-0.07,-0.06,0.03,35.73
351796,3.78,-9.58,4.95,0.01,0.16,0.22,35.87
