Time(ms),Latitude,Longitude,Altitude,Speed,UTC_Time,Date,Sats,Direction
329554,-16.581159,-49.302259,754.40,0.65,14:13:15,91224,4,0.00
330084,-16.581155,-49.302257,754.40,1.72,14:13:16,91224,4,0.00
330612,-16.581231,-49.302138,746.10,0.54,14:14:16,91224,6,0.00
331134,-16.581231,-49.302138,746.10,0.54,14:14:16,91224,6,0.00
331708,-16.581228,-49.302138,745.90,0.69,14:14:17,91224,6,0.00
332230,-16.581228,-49.302138,745.90,0.69,14:14:17,91224,6,0.00
332759,-16.581228,-49.302138,745.90,0.37,14:14:18,91224,6,0.00
333283,-16.581227,-49.302136,745.90,0.78,14:14:19,91224,6,0.00
333814,-16.581227,-49.302136,746.00,0.78,14:14:19,91224,6,0.00
334340,-16.581228,-49.302135,746.00,0.76,14:14:20,91224,6,0.00
334868,-16.581228,-49.302135,746.00,0.76,14:14:20,91224,6,0.00
335394,-16.581227,-49.302137,746.20,1.54,14:14:21,91224,6,0.00
335921,-16.581227,-49.302137,746.20,1.54,14:14:21,91224,6,0.00
336495,-16.581225,-49.302136,745.90,0.39,14:14:22,91224,6,0.00
337020,-16.581225,-49.302136,745.90,0.39,14:14:22,91224,6,0.00
337551,-16.581224,-49.302135,745.60,0.54,14:14:23,91224,6,0.00
338075,-16.581224,-49.302135,745.60,0.54,14:14:23,91224,6,0.00
338603,-16.581223,-49.302136,745.40,0.24,14:14:24,91224,6,0.00
339125,-16.581223,-49.302136,745.40,0.24,14:14:24,91224,6,0.00
339654,-16.581224,-49.302138,745.70,0.11,14:14:25,91224,6,0.00
340176,-16.581224,-49.302138,745.70,0.11,14:14:25,91224,6,0.00
340705,-16.581224,-49.302138,745.80,0.11,14:14:26,91224,6,0.00
341226,-16.581224,-49.302138,745.80,0.11,14:14:26,91224,6,0.00
341756,-16.581224,-49.302138,746.30,0.63,14:14:27,91224,6,0.00
342279,-16.581219,-49.302140,746.30,0.33,14:14:28,91224,6,0.00
342810,-16.581219,-49.302140,745.50,0.33,14:14:28,91224,6,0.00
343334,-16.581218,-49.302139,745.50,0.43,14:14:29,91224,6,0.00
343862,-16.581218,-49.302139,745.50,0.43,14:14:29,91224,6,0.00
344388,-16.581218,-49.302139,745.30,0.26,14:14:30,91224,6,0.00
344915,-16.581218,-49.302139,745.30,0.26,14:14:30,91224,6,0.00
345442,-16.581219,-49.302139,745.30,0.41,14:14:31,91224,6,0.00
345970,-16.581219,-49.302139,745.30,0.41,14:14:31,91224,6,0.00
346544,-16.581219,-49.302137,745.10,0.24,14:14:32,91224,6,0.00
347069,-16.581219,-49.302137,745.10,0.24,14:14:32,91224,6,0.00
347597,-16.581219,-49.302135,744.70,0.59,14:14:33,91224,6,0.00
348120,-16.581219,-49.302135,744.70,0.59,14:14:33,91224,6,0.00
348649,-16.581218,-49.302134,744.30,0.59,14:14:34,91224,6,0.00
349171,-16.581218,-49.302134,744.30,0.59,14:14:34,91224,6,0.00
349700,-16.581219,-49.302133,744.60,0.56,14:14:35,91224,6,0.00
350224,-16.581219,-49.302133,744.60,0.56,14:14:35,91224,6,0.00
350752,-16.581219,-49.302132,744.40,0.33,14:14:36,91224,6,0.00
351276,-16.581218,-49.302131,744.40,0.46,14:14:37,91224,6,0.00
351807,-16.581218,-49.302131,744.40,0.46,14:14:37,91224,6,0.00
352332,-16.581219,-49.302131,744.40,0.15,14:14:38,91224,6,0.00
352899,-16.581219,-49.302131,744.20,0.15,14:14:38,91224,6,0.00
353427,-16.581216,-49.302130,743.80,0.11,14:14:39,91224,6,0.00
353953,-16.581216,-49.302130,743.80,0.11,14:14:39,91224,6,0.00
354482,-16.581218,-49.302129,744.00,0.31,14:14:40,91224,6,0.00
